cycle,total_co2,animal_fr,control_co2,control_fr,delta_co2,VCO2_ml_min,file,temp,stress,date,line
2,0.017640777,49.41310601,0.002931448,49.5893394,0.726317011,0.00726317,34cNS-May2_0001,34,NS,02-May,5
3,0.006227629,49.38353073,0.002802311,49.61487975,0.168505967,0.00168506,34cNS-May2_0001,34,NS,02-May,6
4,0.014166552,49.41687861,0.002939079,49.61945134,0.554231283,0.005542313,34cNS-May2_0001,34,NS,02-May,7
5,0.062757814,49.45252127,0.00277147,49.60346093,2.966057612,0.029660576,34cNS-May2_0001,34,NS,02-May,8
0,0.083561597,49.23012372,0.002142415,49.15116365,4.008445598,0.040084456,34cNS-May28_0001,34,NS,28-May,2
1,0.164210215,49.27825933,0.002317538,49.19597262,7.977980025,0.0797798,34cNS-May28_0001,34,NS,28-May,3
2,0.044265315,49.255774,0.002350057,49.2041136,2.064689853,0.020646899,34cNS-May28_0001,34,NS,28-May,5
0,-3.453431538,49.30471518,0.001217123,49.23220627,-170.33038,-1.7033038,34cNS-May9_0001,34,NS,09-May,2
1,0.021322578,49.28389076,0.00154593,49.24456533,0.974730965,0.00974731,34cNS-May9_0001,34,NS,09-May,3
2,0.013004114,49.30028718,0.001775319,49.15659182,0.553837934,0.005538379,34cNS-May9_0001,34,NS,09-May,5
3,0.023769943,49.23991869,0.001613591,49.22495616,1.09100109,0.010910011,34cNS-May9_0001,34,NS,09-May,6
4,0.013118602,49.32392336,0.001653227,49.16232344,0.565784429,0.005657844,34cNS-May9_0001,34,NS,09-May,7
5,0.067305989,49.37715165,0.001695871,49.23000944,3.239890264,0.032398903,34cNS-May9_0001,34,NS,09-May,8
